"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
G185E-7457	"probable transposase"	"UNCLASSIFIED"	""	"transposition" // "negative regulation by symbiont of host immune response" // "DNA integration"	"cytosol"	"transposase activity" // "DNA binding" // "nucleic acid binding"
G185E-7459	"conserved hypothetical alanine and proline-rich protein"	"UNCLASSIFIED"	""	"oxidation-reduction process"	""	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
G185E-7460	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane" // "cell wall" // "extracellular region"	""
G185E-7461	"possible conserved secreted protein"	"UNCLASSIFIED"	""	"protein catabolic process" // "proteolysis"	"extracellular region"	"hydrolase activity" // "serine-type peptidase activity" // "peptidase activity" // "ATP binding" // "serine-type endopeptidase activity" // "ATP-dependent peptidase activity"
G185E-7462	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-7463	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7464	"unknown protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7465	"probable conserved ATP-binding protein ABC transporter"	"transport" // "UNCLASSIFIED"	""	""	"plasma membrane" // "cell wall"	"transporter activity" // "ATP binding"
G185E-7468	"possible glutaredoxin protein"	"UNCLASSIFIED"	"glutathione-glutaredoxin redox reactions"	"electron transport chain" // "oxidation-reduction process" // "cell redox homeostasis"	"cell"	"oxidoreductase activity" // "protein disulfide oxidoreductase activity" // "electron transfer activity"
G185E-7470	"possible transmembrane cation transporter"	"transport" // "UNCLASSIFIED"	""	"ion transport" // "potassium ion transport"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "cytosol"	"transporter activity"
G185E-7471	"probable ATP-dependent DNA helicase"	"UNCLASSIFIED"	""	"recombinational repair" // "nucleic acid phosphodiester bond hydrolysis" // "growth" // "DNA duplex unwinding" // "cellular response to DNA damage stimulus" // "DNA repair"	"cytosol" // "plasma membrane" // "extracellular region"	"DNA helicase activity" // "3'-5' DNA helicase activity" // "hydrolase activity" // "ATP binding" // "exonuclease activity" // "nuclease activity" // "helicase activity" // "DNA binding" // "nucleotide binding"
G185E-7472	"possible ATP-dependent DNA helicase"	"UNCLASSIFIED"	""	"recombinational repair" // "nucleic acid phosphodiester bond hydrolysis" // "cellular response to DNA damage stimulus" // "DNA repair" // "DNA duplex unwinding"	"cytosol" // "plasma membrane"	"DNA helicase activity" // "3'-5' DNA helicase activity" // "exonuclease activity" // "nuclease activity" // "hydrolase activity" // "ATP binding" // "helicase activity" // "DNA binding" // "nucleotide binding"
G185E-7474	"possible DNA-methyltransferase (modification methylase)"	"UNCLASSIFIED"	""	"methylation" // "DNA repair"	""	"transferase activity" // "methyltransferase activity" // "catalytic activity"
G185E-7475	"conserved protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "cell wall"	""
G185E-7477	"conserved protein"	"UNCLASSIFIED"	""	"proteolysis"	"integral component of membrane" // "membrane" // "cytosol"	"zinc ion binding" // "metallopeptidase activity"
G185E-7478	"probable transcriptional regulatory protein (probably TetR-family)"	"UNCLASSIFIED"	""	"regulation of transcription, DNA-templated"	"cytosol" // "plasma membrane"	"DNA-binding transcription factor activity" // "DNA binding"
G185E-7480	"conserved hypothetical threonine and proline rich protein"	"UNCLASSIFIED"	""	""	"extracellular region"	""
G185E-7481	"conserved protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7483	"conserved alanine valine rich protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane" // "cytosol"	""
G185E-7484	"possible SOJ/para-related protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "bacterial nucleoid" // "cell wall"	""
G185E-7487	""	|Pseudo-Genes|	""	""	""	""
G185E-7488	"probable conserved integral membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7489	"conserved protein"	"UNCLASSIFIED"	""	"phosphorylation" // "metabolic process"	"cytosol" // "plasma membrane"	"kinase activity" // "NAD+ kinase activity"
G185E-7491	"probable two component sensor kinase"	"UNCLASSIFIED"	""	"protein autophosphorylation" // "signal transduction by protein phosphorylation" // "peptidyl-histidine phosphorylation" // "phosphorylation" // "phosphorelay signal transduction system"	"cytosol" // "intracellular"	"transferase activity" // "kinase activity" // "ATP binding" // "protein histidine kinase activity" // "protein kinase activity" // "nucleotide binding" // "phosphorelay sensor kinase activity"
G185E-7494	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7496	"possible iron-regulated short-chain dehydrogenase/reductase"	"UNCLASSIFIED"	""	"response to iron ion"	"plasma membrane" // "cytosol" // "cell wall"	""
G185E-7497	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7498	"conserved hypothetical protein"	|ORFs|	""	"translation" // "aminoacyl-tRNA metabolism involved in translational fidelity"	""	"aminoacyl-tRNA editing activity"
G185E-7499	"GCN5-related N-acetyltransferase, phosphorylase"	"UNCLASSIFIED"	""	"aminoglycoside antibiotic catabolic process" // "phosphorylation"	"cytosol"	"aminoglycoside phosphotransferase activity" // "transferase activity" // "N-acetyltransferase activity"
G185E-7500	"conserved hypothetical protein"	|ORFs|	""	"proteolysis"	""	"hydrolase activity" // "peptidase activity"
G185E-7502	"conserved hypothetical protein"	|ORFs|	""	"ribosome biogenesis"	"cytoplasm" // "cytosol"	"rRNA binding" // "RNA binding" // "metal ion binding" // "hydrolase activity" // "GTP binding" // "GTPase activity" // "nucleotide binding"
G185E-7504	"stearoyl-CoA 9-desaturase electron-transfer subunit"	"UNCLASSIFIED"	""	"oxidation-reduction process" // "electron transport chain" // "fatty acid metabolic process"	"membrane" // "plasma membrane" // "cytosol"	"NADPH binding" // "2 iron, 2 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "oxidoreductase activity" // "electron transfer activity" // "protein binding"
G185E-7505	"conserved protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7507	"possible triacylglycerol synthase"	"UNCLASSIFIED"	""	"response to nitric oxide" // "growth of symbiont in host cell" // "triglyceride biosynthetic process" // "response to hypoxia"	"plasma membrane" // "cell wall"	"long-chain-alcohol O-fatty-acyltransferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "diacylglycerol O-acyltransferase activity"
G185E-7509	"hypothetical alanine arginine proline rich protein"	"UNCLASSIFIED"	""	""	"cytosol"	""
G185E-7510	"probable conserved integral membrane transport protein"	"transport" // "UNCLASSIFIED"	""	"proton transmembrane transport" // "transmembrane transport" // "cation transport"	"plasma membrane" // "integral component of membrane"	"transporter activity" // "solute:proton antiporter activity"
G185E-7511	"conserved protein"	"UNCLASSIFIED"	""	"cation transmembrane transport" // "response to host immune response" // "potassium ion transport"	"cytosol" // "plasma membrane" // "cell wall"	"cation transmembrane transporter activity"
G185E-7512	"probable conserved integral membrane protein"	"UNCLASSIFIED"	""	"methylation"	"plasma membrane" // "integral component of membrane" // "membrane"	"transferase activity" // "methyltransferase activity"
G185E-7513	"probable conserved transmembrane transport protein"	"transport" // "UNCLASSIFIED"	""	"lipid catabolic process" // "transmembrane transport" // "phosphatidylcholine metabolic process" // "metabolic process" // "lipid metabolic process"	"integral component of membrane" // "membrane" // "plasma membrane"	"transmembrane transporter activity" // "hydrolase activity" // "transporter activity" // "lysophospholipase activity"
G185E-7516	"conserved hypothetical protein"	|ORFs|	""	"nucleoside metabolic process"	""	""
G185E-7517	"unknown protein"	"UNCLASSIFIED"	""	"growth"	"plasma membrane" // "cell wall"	""
G185E-7523	"possible transcriptional regulatory protein (probably TetR-family)"	"UNCLASSIFIED"	""	"regulation of transcription, DNA-templated"	"cytosol"	"DNA-binding transcription factor activity" // "transcription regulatory region sequence-specific DNA binding" // "DNA binding"
G185E-7527	"possible cationic amino acid transport integral membrane protein"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "amino acid transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane" // "extracellular region"	"transmembrane transporter activity" // "amino acid transmembrane transporter activity" // "transporter activity"
G185E-7528	"conserved hypothetical protein"	|ORFs|	""	"thiazole biosynthetic process" // "thiamine biosynthetic process"	"plasma membrane" // "cytosol" // "cell wall"	"iron ion binding"
G185E-7530	"conserved protein"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
G185E-7532	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7533	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-7537	"probable DNA methylase (modification methylase) (methyltransferase)"	"UNCLASSIFIED"	""	"methylation"	"cytosol" // "plasma membrane"	"transferase activity" // "methyltransferase activity" // "nucleic acid binding"
G185E-7541	"conserved protein (CPSA-related protein)"	"UNCLASSIFIED"	""	"growth"	"plasma membrane" // "extracellular region"	""
G185E-7542	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7543	"conserved protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "cell wall"	""
G185E-7545	"probable conserved integral membrane protein"	"UNCLASSIFIED"	""	"cation transmembrane transport" // "transmembrane transport" // "growth" // "cation transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"cation transmembrane transporter activity"
G185E-7546	"conserved hypothetical protein"	|ORFs|	""	"metabolic process"	"cytosol"	"transferase activity" // "CoA-transferase activity" // "formyl-CoA transferase activity" // "catalytic activity"
G185E-7547	"probable transmembrane carbonic anhydrase"	"UNCLASSIFIED"	""	"succinate transmembrane transport" // "L-aspartate transmembrane transport" // "fumarate transport" // "anion transmembrane transport" // "sulfate transmembrane transport" // "transmembrane transport" // "carbon utilization" // "sulfate transport"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane"	"L-aspartate transmembrane transporter activity" // "succinate transmembrane transporter activity" // "fumarate transmembrane transporter activity" // "anion:anion antiporter activity" // "sulfate transmembrane transporter activity" // "secondary active sulfate transmembrane transporter activity" // "zinc ion binding" // "carbonate dehydratase activity"
G185E-7551	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	"polysaccharide biosynthetic process"	"plasma membrane" // "integral component of membrane"	""
G185E-7552	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"Rv3282"	"Maf-like protein Rv3282"	|ORFs|	""	"nucleotide metabolic process"	"cytosol" // "cytoplasm" // "cell wall"	"hydrolase activity" // "pyrophosphatase activity" // "NADH pyrophosphatase activity" // "nucleotide diphosphatase activity" // "nucleoside-triphosphate diphosphatase activity"
"Rv3284"	"Uncharacterized SufE-like protein Rv3284"	|ORFs|	""	""	""	""
G185E-7563	"possible transmembrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7566	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7568	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-7569	"probable transcriptional regulatory protein (probably TetR-family)"	"UNCLASSIFIED"	""	"regulation of transcription, DNA-templated"	"plasma membrane"	"DNA-binding transcription factor activity" // "DNA binding"
G185E-7574	"conserved hypothetical protein"	|ORFs|	""	"tRNA pseudouridine synthesis" // "enzyme-directed rRNA pseudouridine synthesis" // "RNA modification" // "pseudouridine synthesis"	"cytosol" // "plasma membrane"	"pseudouridine synthase activity" // "RNA binding"
G185E-7578	"conserved protein"	"UNCLASSIFIED"	""	""	"plasma membrane"	"gamma-glutamylcyclotransferase activity"
G185E-7585	"conserved protein"	"UNCLASSIFIED"	""	""	"cytosol"	""
G185E-7587	"secreted protein antigen"	"UNCLASSIFIED"	""	"pathogenesis" // "pilus assembly" // "cell adhesion"	"pilus"	""
G185E-7586	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-7597	"possible methyltransferase"	"UNCLASSIFIED"	""	"methylation"	"cytoplasm"	"S-adenosylmethionine-dependent methyltransferase activity" // "transferase activity" // "methyltransferase activity"
G185E-7600	""	|Pseudo-Genes|	""	""	""	""
G185E-7601	"probable transposase for insertion sequence element IS6110 (fragment)"	"UNCLASSIFIED"	""	"transposition, DNA-mediated"	"plasma membrane"	"transposase activity" // "DNA binding"
G185E-7602	"probable transposase"	|Truncated-Genes|	""	""	""	""
G185E-7603	"probable transposase fusion protein"	"UNCLASSIFIED"	""	"transposition, DNA-mediated"	"cytosol"	"transposase activity" // "DNA binding"
G185E-7605	"probable aminotransferase"	"UNCLASSIFIED"	""	"biotin biosynthetic process"	"cytosol"	"adenosylmethionine-8-amino-7-oxononanoate transaminase activity" // "pyridoxal phosphate binding" // "transferase activity" // "transaminase activity" // "catalytic activity"
G185E-7609	"hypothetical proline rich protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7610	"probable transcriptional regulatory protein (probably MerR-family)"	"UNCLASSIFIED"	""	"regulation of fatty acid metabolic process" // "regulation of transcription, DNA-templated"	"cytosol"	"DNA binding"
G185E-7611	"probable conserved integral membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7613	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7614	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7618	"possible methyltransferase (methylase)"	"UNCLASSIFIED"	""	"methylation" // "metabolic process"	"cytosol"	"transferase activity" // "methyltransferase activity"
G185E-7622	"conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane"	""
G185E-7624	"probable transposase"	"UNCLASSIFIED"	""	"transposition, DNA-mediated"	""	"transposase activity" // "DNA binding"
G185E-7625	"probable transposase"	"UNCLASSIFIED"	""	""	""	""
G185E-7627	"conserved hypothetical protein"	|ORFs|	""	"oxidation-reduction process"	""	"flavin adenine dinucleotide binding" // "oxidoreductase activity"
G185E-7628	"possible oxidoreductase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	""	"FAD binding" // "flavin adenine dinucleotide binding" // "oxidoreductase activity, acting on CH-OH group of donors" // "oxidoreductase activity"
G185E-7629	"conserved hypothetical protein"	|ORFs|	""	"oxidation-reduction process"	""	"flavin adenine dinucleotide binding" // "catalytic activity"
G185E-7630	"conserved hypothetical protein"	|ORFs|	""	""	"outer membrane-bounded periplasmic space" // "extracellular region"	""
G185E-7631	"probable integral membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7635	"possible oxidoreductase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"cytosol"	"oxidoreductase activity" // "FMN binding" // "catalytic activity"
G185E-7636	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7638	"probable ATP/GTP-binding protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7639	"conserved hypothetical protein"	|ORFs|	""	""	"plasma membrane"	""
"Rv3364c"	"Serine protease inhibitor Rv3364c"	"UNCLASSIFIED"	""	"negative regulation of endopeptidase activity" // "negative regulation of peptidase activity" // "pathogenesis"	"host cell cytoplasm" // "extracellular region"	"peptidase inhibitor activity" // "serine-type endopeptidase inhibitor activity"
G185E-7641	"conserved protein"	"UNCLASSIFIED"	""	"protein autophosphorylation" // "signal transduction by protein phosphorylation" // "peptidyl-histidine phosphorylation" // "phosphorylation" // "signal transduction" // "phosphorelay signal transduction system"	"integral component of plasma membrane" // "integral component of membrane" // "membrane" // "plasma membrane" // "cytosol"	"histidine phosphotransfer kinase activity" // "phosphorelay sensor kinase activity" // "ATP binding" // "protein histidine kinase activity" // "nucleotide binding" // "transferase activity" // "kinase activity"
G185E-7644	"possible oxidoreductase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	""	"oxidoreductase activity"
G185E-7645	"conserved protein"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"cytosol" // "extracellular region"	"coenzyme F420 binding" // "oxidoreductase activity, acting on the CH-CH group of donors" // "cofactor binding"
G185E-7647	"possible triacylglycerol synthase"	"UNCLASSIFIED"	""	"response to nitric oxide" // "glycerolipid biosynthetic process" // "growth of symbiont in host cell" // "triglyceride biosynthetic process" // "lipid metabolic process" // "glycerol metabolic process" // "response to hypoxia"	"plasma membrane" // "cell wall"	"long-chain-alcohol O-fatty-acyltransferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "diacylglycerol O-acyltransferase activity"
"Rv3376"	"Phosphatase Rv3376"	|ORFs|	""	"dephosphorylation" // "metabolic process"	"cytosol"	"phosphatase activity" // "hydrolase activity"
G185E-7653	G185E-7653-MONOMER	|Genes|	"tuberculosinol biosynthesis"	"response to host immune response" // "tuberculosinol biosynthetic process" // "geranylgeranyl diphosphate metabolic process" // "cellular response to magnesium starvation"	"cytosol"	"metal ion binding" // "halimadienyl-diphosphate synthase activity" // "isomerase activity" // "lyase activity" // "catalytic activity" // "magnesium ion binding"
G185E-7654	"tuberculosinol synthase"	|Genes|	"tuberculosinol biosynthesis"	"tuberculosinol biosynthetic process" // "response to host immune response" // "dephosphorylation" // "diterpenoid biosynthetic process"	"cytosol"	"phosphatase activity" // "hydrolase activity" // "transferase activity, transferring alkyl or aryl (other than methyl) groups"
G185E-7656	"probable transposase"	|Truncated-Genes|	""	""	""	""
G185E-7657	"probable transposase for insertion sequence element IS6110 (fragment)"	"UNCLASSIFIED"	""	"transposition, DNA-mediated"	"plasma membrane"	"transposase activity" // "DNA binding"
G185E-7662	"possible transposase"	"UNCLASSIFIED"	""	""	"cytosol" // "plasma membrane"	""
G185E-7663	"possible transposase"	"UNCLASSIFIED"	""	"transposition, DNA-mediated"	"cytosol"	"transposase activity" // "DNA binding"
G185E-7670	"conserved hypothetical protein"	|ORFs|	""	"SOS response" // "DNA repair"	"plasma membrane" // "cell wall"	""
G185E-7672	"probable membrane protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7671	"conserved hypothetical protein"	|ORFs|	""	"DNA repair"	"plasma membrane" // "integral component of membrane" // "membrane"	"catalytic activity"
G185E-7676	"possible S-adenosylmethionine-dependent methyltransferase"	"UNCLASSIFIED"	""	"methylation"	"cytosol"	"transferase activity" // "methyltransferase activity"
G185E-7677	"mycolyl-trehalose-6-phosphate phosphatase"	"metabolism"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"metabolic process"	"cytosol"	"beta-phosphoglucomutase activity" // "hydrolase activity"
"Rv3401"	"Uncharacterized glycosyl hydrolase Rv3401"	"UNCLASSIFIED"	""	"metabolic process" // "carbohydrate metabolic process"	"cell wall" // "cytosol" // "plasma membrane"	"hydrolase activity, hydrolyzing O-glycosyl compounds" // "carbohydrate binding" // "hydrolase activity, acting on glycosyl bonds" // "hydrolase activity" // "catalytic activity"
G185E-7679	"PLP-dependent aminotransferase"	|ORFs|	""	"polysaccharide biosynthetic process" // "response to host immune response" // "cellular response to iron ion starvation"	"cytosol" // "extracellular region"	"pyridoxal phosphate binding" // "transaminase activity" // "dTDP-4-amino-4,6-dideoxy-D-glucose transaminase activity" // "catalytic activity"
G185E-7680	"hypothetical protein"	|ORFs|	""	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
G185E-7681	"sugar <i>N</i>-formyltransferase subunit"	|ORFs|	""	"carbohydrate metabolic process" // "conversion of methionyl-tRNA to N-formyl-methionyl-tRNA" // "translational initiation" // "pathogenesis" // "biosynthetic process"	"cytosol"	"protein homodimerization activity" // "transferase activity" // "methionyl-tRNA formyltransferase activity" // "hydroxymethyl-, formyl- and related transferase activity"
G185E-7682	"possible transcriptional regulatory protein"	"UNCLASSIFIED"	""	"regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"cytosol"	"DNA-binding transcription factor activity" // "transcription regulatory region sequence-specific DNA binding" // "DNA binding"
G185E-7683	"alkyl sulfatase"	"UNCLASSIFIED"	""	"response to antibiotic" // "sulfur compound catabolic process" // "oxidation-reduction process"	"cytoplasm" // "cytosol" // "plasma membrane"	"taurine dioxygenase activity" // "sulfonate dioxygenase activity" // "dioxygenase activity" // "metal ion binding" // "oxidoreductase activity"
G185E-7689	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7690	"unknown alanine and proline rich protein"	"UNCLASSIFIED"	""	"regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"integral component of membrane" // "membrane" // "plasma membrane" // "extracellular region"	""
G185E-7692	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7698	"conserved hypothetical protein"	|ORFs|	""	"tRNA threonylcarbamoyladenosine modification"	"cell wall"	""
G185E-7701	"hypothetical protein"	|ORFs|	""	""	""	""
G185E-7704	"possible transposase"	"UNCLASSIFIED"	""	"DNA replication" // "DNA strand elongation involved in DNA replication" // "growth"	"cytoplasm" // "cytosol" // "plasma membrane"	"ATP binding" // "nucleotide binding"
G185E-7705	"possible transposase"	"UNCLASSIFIED"	""	"DNA integration"	"cytosol" // "plasma membrane" // "extracellular region"	"nucleic acid binding"
G185E-7707	"possible transposase"	"UNCLASSIFIED"	""	"transposition" // "DNA integration"	"cytosol"	"nucleic acid binding"
G185E-7708	"possible transposase (fragment)"	"UNCLASSIFIED"	""	"transposition" // "DNA recombination" // "transposition, DNA-mediated"	""	"transposase activity" // "DNA binding"
G185E-7711	"possible conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7712	"probable conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
G185E-7714	"possible conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane"	""
G185E-7715	"conserved protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7716	"conserved hypothetical alanine and proline rich protein"	"UNCLASSIFIED"	""	""	"extracellular region"	""
G185E-7717	"hypothetical protein"	|ORFs|	""	""	""	""
G185E-7723	"hypothetical alanine and valine rich protein"	"UNCLASSIFIED"	""	""	"cytosol"	""
G185E-7730	"possible conserved transmembrane protein"	"UNCLASSIFIED"	""	""	"integral component of membrane"	""
G185E-7731	"probable conserved integral membrane protein"	"UNCLASSIFIED"	""	"cytosine transport"	"integral component of membrane" // "membrane" // "plasma membrane"	"cytosine transmembrane transporter activity"
G185E-7740	"conserved protein"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"cytosol"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
G185E-7743	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-7744	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7745	"possible dTDP-glucose 4,6-dehydratase"	"UNCLASSIFIED"	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "dTDP-L-rhamnose biosynthesis"	""	""	"coenzyme binding" // "catalytic activity"
G185E-7748	"conserved hypothetical protein"	|ORFs|	""	""	""	"nutrient reservoir activity"
G185E-7749	"conserved protein"	"UNCLASSIFIED"	""	""	"cytosol"	""
G185E-7751	"possible transposase for insertion element IS6110 (fragment)"	"UNCLASSIFIED"	""	"transposition, DNA-mediated"	"plasma membrane"	"transposase activity" // "DNA binding"
G185E-7752	"possible transposase for insertion element IS6110 [second part]"	|Truncated-Genes|	""	""	""	""
G185E-7756	"possible transmembrane protein"	"UNCLASSIFIED"	""	"lipid catabolic process" // "metabolic process" // "lipid metabolic process"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane"	"hydrolase activity"
G185E-7757	"possible triacylglycerol synthase"	"UNCLASSIFIED"	""	"response to nitric oxide" // "glycerolipid biosynthetic process" // "growth of symbiont in host cell" // "triglyceride biosynthetic process" // "lipid metabolic process" // "glycerol metabolic process" // "response to hypoxia"	"plasma membrane" // "cell wall"	"long-chain-alcohol O-fatty-acyltransferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "diacylglycerol O-acyltransferase activity"
G185E-7758	"probable integral membrane protein"	"UNCLASSIFIED"	""	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
G185E-7759	"probable conserved membrane protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane"	""
G185E-7760	"possible exported protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane"	""
G185E-7762	"probable short-chain type dehydrogenase/reductase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"cytosol" // "plasma membrane"	"oxidoreductase activity"
"Rv3486"	"Uncharacterized membrane protein Rv3486"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
G185E-7765	"conserved hypothetical protein"	|ORFs|	""	""	""	"metal ion binding" // "DNA binding"
G185E-7766	"unknown protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7768	"unknown protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7769	"conserved hypothetical Mce associated protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane"	""
G185E-7770	"conserved hypothetical Mce associated alanine and valine rich protein"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane"	""
G185E-7779	G185E-7779-MONOMER	|Genes|	""	"oxidation-reduction process"	"cytosol"	"oxidoreductase activity"
G185E-7787	"conserved protein"	"UNCLASSIFIED"	""	"secondary metabolic process"	"cytoplasm"	"carboxy-lyase activity" // "hydrolase activity"
G185E-7794	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-7796	"unknown protein"	"UNCLASSIFIED"	""	""	"cytosol" // "plasma membrane"	"lyase activity"
G185E-7797	"possible coenzyme F420-dependent oxidoreductase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"plasma membrane" // "cell wall"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" // "oxidoreductase activity"
G185E-7798	"conserved hypothetical protein"	|ORFs|	""	""	"cytosol"	""
G185E-7801	"probable conserved membrane protein"	"UNCLASSIFIED"	""	""	""	""
G185E-7802	"possible siderophore-binding protein"	"UNCLASSIFIED"	""	""	"cytosol"	""
G185E-7804	"hypothetical protein"	|ORFs|	""	""	""	""
G185E-7805	"unknown protein"	"UNCLASSIFIED"	""	""	"cytosol"	""
G185E-7806	"conserved hypothetical protein"	|ORFs|	""	""	""	""
G185E-7807	"possible oxidoreductase"	"UNCLASSIFIED"	""	""	"cytosol"	""
G185E-7808	"hypothetical protein"	|ORFs|	""	""	""	""
G185E-7815	"probable dehydrogenase. Possible 2-enoyl acyl-CoA hydratase."	"UNCLASSIFIED"	""	"growth"	"plasma membrane"	""
G185E-7818	"3-oxo-23,24-bisnorchol-4,17(20)-dien-22-oyl-CoA hydratase &beta; subunit"	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "cholesterol degradation to androstenedione I (cholesterol oxidase)" // "cholesterol degradation to androstenedione II (cholesterol dehydrogenase)"	""	""	""
G185E-7819	"3-oxo-23,24-bisnorchol-4,17(20)-dien-22-oyl-CoA hydratase &alpha; subunit"	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "cholesterol degradation to androstenedione I (cholesterol oxidase)" // "cholesterol degradation to androstenedione II (cholesterol dehydrogenase)"	""	"cytosol"	""
G185E-7825	"probable short-chain type dehydrogenase/reductase"	"UNCLASSIFIED"	""	"fatty acid elongation" // "oxidation-reduction process"	"cytosol"	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "oxidoreductase activity"
G185E-7826	"probable short-chain type dehydrogenase/reductase"	"UNCLASSIFIED"	""	"oxidation-reduction process"	"cytosol"	"oxidoreductase activity"
